postal_code,lat_long
238427.0,"1.29510639772836,103.837908586809"
548036.0,"1.3602858810699,103.882883044969"
536491.0,"1.35002879580504,103.878726357571"
536467.0,"1.35048475874826,103.877743336325"
679973.0,"1.37822955941898,103.774915254169"
678595.0,"1.36785603651596,103.769076354996"
238106.0,Not Found
429419.0,"1.31393603577403,103.905968740281"
556112.0,"1.34986198545139,103.864551955664"
89673.0,Not Found
259343.0,"1.31736627540165,103.829151006468"
439828.0,"1.29859128385275,103.88788362263"
309838.0,"1.32353748014389,103.848108217465"
534649.0,"1.35450868269668,103.879280958773"
388034.0,"1.31553989931646,103.887052416457"
556740.0,Not Found
549848.0,"1.36513433574962,103.877904537708"
408832.0,"1.33288462898322,103.892303618387"
596306.0,"1.34235089228566,103.774712096453"
428963.0,"1.30834695546795,103.910494196372"
218437.0,"1.31660680940599,103.853325577811"
98828.0,"1.26617554108454,103.823800983091"
308129.0,"1.31951898551971,103.84679324918"
218636.0,"1.31506105973759,103.856679863644"
238541.0,Not Found
409286.0,"1.3147868971977,103.893472115119"
327977.0,"1.32638091456349,103.86384065497"
207223.0,"1.31062308421057,103.857087879797"
218745.0,"1.31012233674354,103.852814779279"
259711.0,Not Found
208741.0,"1.30889576732658,103.863068603426"
219067.0,"1.31802199387753,103.851593706635"
228153.0,"1.30204584534425,103.848101036366"
228314.0,"1.30914345592949,103.83757966118"
239569.0,"1.29612371629415,103.837596960133"
229571.0,"1.30681455140449,103.83161179273"
229619.0,"1.30395577762362,103.840804014831"
597149.0,"1.32798294795089,103.766368712851"
126810.0,"1.2968140340697,103.767536280823"
259342.0,"1.31771205897928,103.829154889671"
249591.0,"1.2994464420761,103.826792238545"
573973.0,"1.35924248632998,103.845377575704"
259760.0,"1.32257316934913,103.814245542255"
219054.0,"1.31716737547633,103.852224507925"
159192.0,"1.2940922282272,103.818107585883"
359425.0,"1.34440267692475,103.866276528364"
509049.0,"1.37816740380988,103.957248234037"
506926.0,"1.3794370861503,103.960978885551"
459135.0,"1.30955905953909,103.918348621431"
688992.0,"1.37771148616043,103.747462093029"
,Not Found
545075.0,"1.39135111898229,103.895997534531"
298127.0,"1.3270913316471,103.841978573745"
199554.0,"1.30026689906653,103.861865589801"
427710.0,"1.30450883144843,103.905450923104"
268507.0,"1.32251373618649,103.795754327063"
268535.0,"1.32252784112804,103.795044579049"
269406.0,"1.32329829076605,103.810527574143"
269525.0,"1.32294030267409,103.802594716268"
269707.0,"1.32383512178759,103.809999570047"
399914.0,"1.30957643997194,103.881039620932"
469986.0,"1.31179905604909,103.939434253217"
425653.0,"1.31228274672898,103.90955975689"
437431.0,"1.29660974425015,103.867069174269"
398355.0,"1.3125776569644,103.886492342637"
388029.0,"1.31519496465052,103.88657401161"
408832.0,"1.33288462898322,103.892303618387"
576438.0,"1.36002616972158,103.831111682"
576439.0,"1.36056129382805,103.831322647843"
469360.0,"1.32117464442309,103.954787463114"
469360.0,"1.32117464442309,103.954787463114"
328754.0,"1.32467146475006,103.853910277516"
89692.0,"1.27803124712698,103.84238791264"
429381.0,"1.31209142665254,103.89832418511"
259495.0,"1.31574501417113,103.82407608726"
455208.0,"1.31312519718196,103.926325734684"
457269.0,"1.31338886288706,103.92635776294"
269694.0,"1.32304666837659,103.811160666737"
248342.0,"1.29414630960587,103.826988034433"
538645.0,"1.34351875675561,103.881905451986"
389781.0,"1.316014588469,103.885305865351"
118885.0,"1.28156004152174,103.785709595421"
398870.0,"1.31139887994503,103.879671115715"
399165.0,"1.31115202963177,103.876674762958"
436889.0,"1.29884376283001,103.883834793855"
259335.0,Not Found
298130.0,"1.3283636088892,103.841418362322"
425711.0,"1.31343809193913,103.91201252096"
455272.0,Not Found
228867.0,"1.31317508970172,103.84379589573"
249722.0,"1.30466347810957,103.826434239291"
249696.0,"1.30361391565827,103.829242156982"
